dataset,metric,grpo_mean,baseline_mean,diff_grpo_minus_baseline,n_grpo,n_baseline,n_grpo_nonnull,n_baseline_nonnull
breast_cancer_wisconsin,abstention_bonus,0.011111,0.0,0.011111,36,4,36,4
breast_cancer_wisconsin,action_cost_penalty,0.0775,0.0675,0.01,36,4,36,4
breast_cancer_wisconsin,n_actions,7.75,6.75,1.0,36,4,36,4
breast_cancer_wisconsin,retrieval_bm25_score,34.101297,25.313319,8.787978,36,4,36,4
breast_cancer_wisconsin,retrieval_rrf_score,0.015573,0.015718,-0.000145,36,4,36,4
breast_cancer_wisconsin,retrieval_best_intent_rank,4.333862,3.7,0.633862,36,4,36,4
breast_cancer_wisconsin,category_entropy,2.24502,2.793997,-0.548977,36,4,36,4
breast_cancer_wisconsin,distinct_category_count,6.041667,8.25,-2.208333,36,4,36,4
breast_cancer_wisconsin,evidence_depth_full_text_frac,0.994444,1.0,-0.005556,36,4,36,4
breast_cancer_wisconsin,n_observations,699.0,699.0,0.0,36,4,15,1
breast_cancer_wisconsin,cv_metric,0.171557,0.820746,-0.649189,36,4,15,1
breast_cancer_wisconsin,bootstrap_sign_stability,0.330043,0.929236,-0.599193,36,4,15,1
breast_cancer_wisconsin,paper_diagnostic_coverage,1.0,,,36,4,2,0
breast_cancer_wisconsin,condition_number,,,,36,4,0,0
breast_cancer_wisconsin,rubric_score,0.094323,0.066458,0.027865,36,4,36,3
breast_cancer_wisconsin,implementation_coverage_score,0.547222,0.283333,0.263889,36,4,36,3
breast_cancer_wisconsin,assumption_check_recall,0.268519,0.0,0.268519,36,4,36,3
breast_cancer_wisconsin,output_contract_recall,0.027778,0.0,0.027778,36,4,36,3
breast_cancer_wisconsin,validation_coverage_score,0.696759,0.638889,0.05787,36,4,36,3
breast_cancer_wisconsin,emittable,0.0,0.0,0.0,36,4,36,4
breast_cancer_wisconsin,emitted,0.0,0.0,0.0,36,4,36,4
breast_cancer_wisconsin,gate_score_hypothesis,1.0,1.0,0.0,36,4,36,3
breast_cancer_wisconsin,gate_score_estimand,1.0,1.0,0.0,36,4,36,3
breast_cancer_wisconsin,gate_score_data_applicability,0.416667,0.333333,0.083334,36,4,36,3
breast_cancer_wisconsin,gate_score_multiplicity,1.0,1.0,0.0,36,4,36,3
breast_cancer_wisconsin,gate_score_execution,0.611111,0.333333,0.277778,36,4,36,3
breast_cancer_wisconsin,gate_score_paper_fidelity,0.319444,0.166667,0.152777,36,4,36,3
breast_cancer_wisconsin,gate_score_assumption_admissibility,0.0,0.0,0.0,36,4,36,3
breast_cancer_wisconsin,gate_score_robustness,0.62037,0.555555,0.064815,36,4,36,3
breast_cancer_wisconsin,gate_score_data_method_structural_fit,1.0,1.0,0.0,36,4,36,3
breast_cancer_wisconsin,gate_score_internal_coherence,1.0,1.0,0.0,36,4,36,3
breast_cancer_wisconsin,n_assumptions_declared,2.055556,2.333333,-0.277777,36,4,36,3
breast_cancer_wisconsin,assumption_all_held_frac,0.25,0.0,0.25,36,4,36,3
breast_cancer_wisconsin,assumption_zero_held_frac,0.722222,1.0,-0.277778,36,4,36,3
breast_cancer_wisconsin,n_output_contract_items_declared,3.416667,4.333333,-0.916666,36,4,36,3
breast_cancer_wisconsin,output_contract_all_held_frac,0.027778,0.0,0.027778,36,4,36,3
breast_cancer_wisconsin,output_contract_zero_held_frac,0.972222,1.0,-0.027778,36,4,36,3
buchwald_hartwig_coupling,reward,0.149511,0.067294,0.082217,36,4,35,4
buchwald_hartwig_coupling,implementation_score,0.10838,0.055469,0.052911,36,4,35,4
buchwald_hartwig_coupling,data_score,0.124105,0.002147,0.121958,36,4,35,4
buchwald_hartwig_coupling,validation_credit,0.420759,0.295833,0.124926,36,4,35,4
buchwald_hartwig_coupling,abstention_bonus,0.01,0.0125,-0.0025,36,4,35,4
buchwald_hartwig_coupling,action_cost_penalty,0.072571,0.0675,0.005071,36,4,35,4
buchwald_hartwig_coupling,n_actions,7.257143,6.75,0.507143,36,4,35,4
buchwald_hartwig_coupling,retrieval_bm25_score,38.681925,30.122291,8.559634,36,4,36,4
buchwald_hartwig_coupling,retrieval_rrf_score,0.015494,0.015459,3.5e-05,36,4,36,4
buchwald_hartwig_coupling,retrieval_best_intent_rank,4.694841,4.85,-0.155159,36,4,36,4
buchwald_hartwig_coupling,category_entropy,2.724113,2.00699,0.717123,36,4,36,4
buchwald_hartwig_coupling,distinct_category_count,7.791667,5.0,2.791667,36,4,36,4
buchwald_hartwig_coupling,evidence_depth_full_text_frac,1.0,1.0,0.0,36,4,36,4
buchwald_hartwig_coupling,n_observations,4302.0,4312.0,-10.0,36,4,18,1
buchwald_hartwig_coupling,cv_metric,0.142874,0.0,0.142874,36,4,14,1
buchwald_hartwig_coupling,bootstrap_sign_stability,0.30684,0.034356,0.272484,36,4,14,1
buchwald_hartwig_coupling,paper_diagnostic_coverage,0.9,,,36,4,5,0
buchwald_hartwig_coupling,condition_number,,,,36,4,0,0
buchwald_hartwig_coupling,rubric_score,0.11854,0.073958,0.044582,36,4,32,3
buchwald_hartwig_coupling,implementation_coverage_score,0.551689,0.666667,-0.114978,36,4,32,3
buchwald_hartwig_coupling,assumption_check_recall,0.307292,0.111111,0.196181,36,4,32,3
